2.337145833,1.1
3.599937500,1.2
4.821333333,1.3
5.937000000,1.4
7.133708333,2.1
8.253666667,2.2
9.428020833,2.3
10.531395833,2.4
11.602416667,3.1
12.713937500,3.2
13.959583333,3.3
15.168041667,3.4
16.277333333,4.1
17.429333333,4.2
18.551270833,4.3
21.202500000,5.1
22.383291667,5.2
23.454145833,5.3
24.556000000,5.4
25.664000000,6.1
26.837333333,6.2
27.965104167,6.3
29.098854167,6.4
30.076208333,7.1
31.163625000,7.2
32.286270833,7.3
33.483604167,7.4
34.632791667,8.1
35.728666667,8.2
36.885333333,8.3
38.066875000,8.4
41.057750000,9.2
42.272500000,9.3
43.373104167,9.4
44.373333333,10.1
45.694312500,10.2
46.811604167,10.3
48.223937500,10.4
49.326979167,11.1
50.430916667,11.2
51.498666667,11.3
52.666125000,11.4
53.860208333,12.1
54.962916667,12.2
56.087687500,12.3
58.431791667,12.4
60.109270833,13.1
61.229604167,13.2
62.369833333,13.3
63.528291667,33.2
64.874666667,13.4
66.135541667,14.1
67.338916667,14.2
68.437083333,14.3
69.562479167,14.4
70.704562500,15.1
71.817604167,15.2
72.846604167,15.3
74.088833333,15.4
75.326541667,16.1
76.567354167,16.2
77.807145833,16.3
79.618937500,16.4
80.767687500,17.1
82.100520833,33.3
84.401666667,17.2
85.635958333,17.3
87.025250000,17.4
88.392333333,18.1
89.701770833,18.2
90.794666667,18.3
92.117666667,18.4
93.610666667,19.1
94.786125000,19.2
95.881916667,19.3
97.032145833,19.4
98.267812500,20.1
99.434729167,20.2
100.416000000,20.3
101.528520833,20.4
104.033708333,21.1
105.297916667,21.2
106.488104167,21.3
107.558937500,21.4
108.618583333,22.1
109.680270833,22.2
110.707875000,22.3
111.918854167,22.4
113.240812500,23.1
114.404625000,23.2
115.456708333,23.3
116.620979167,23.4
117.721354167,24.1
118.809333333,24.2
119.988145833,24.3
121.238645833,24.4
123.455479167,25.1
124.995500000,25.2
126.044520833,25.3
127.210666667,25.4
128.426687500,26.1
129.611166667,26.2
130.728479167,26.4
132.098604167,27.1
133.447791667,27.2
134.442312500,27.3
135.505416667,27.4
136.597208333,28.1
137.761208333,28.2
139.072666667,28.3
140.256104167,28.4
142.326229167,29.1
144.330958333,29.2
145.637937500,29.3
146.675062500,29.4
147.819500000,30.1
149.299125000,30.2
150.318729167,30.3
151.315208333,30.4
152.405333333,31.1
153.615395833,31.2
154.645687500,31.3
155.733583333,31.4
157.098854167,32.3
158.765937500,32.1
160.262062500,32.2
163.488687500,33.1